Track Name,Artist,Streams,URL,Number of Appearnaces in the Top 200
Old Town Road,Lil Nas X,11144701,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,19
EARFQUAKE,"Tyler, The Creator",4565726,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,19
Adictiva,Daddy Yankee,4326154,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,19
I Fall Apart,Post Malone,4578749,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,19
"Yo x Ti, Tu x Mi",ROSALÍA,6589853,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,19
boyfriend (with Social House),Ariana Grande,4754501,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,18
lovely,Billie Eilish,10997572,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,18
Someone You Loved,Lewis Capaldi,14991744,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,18
Contra La Pared,Sean Paul,4613805,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1,18
Ella Quiere Beber - Remix,Anuel AA,4293347,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,18
Adicto (with Anuel AA & Ozuna),Tainy,8854341,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,18
The London (feat. J. Cole & Travis Scott),Young Thug,5610656,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n,18
Sanguine Paradise,Lil Uzi Vert,4689623,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN,18
I.F.L.Y.,Bazzi,5145755,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,18
Shotgun,George Ezra,4246486,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,18
Beautiful (feat. Camila Cabello),Bazzi,4462895,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,18
Desconocidos,Mau y Ricky,4397008,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h,18
hot girl bummer,blackbear,14825318,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,18
Aullando,Wisin & Yandel,4570842,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus,18
XO Tour Llif3,Lil Uzi Vert,4349957,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,18
Paradise,Bazzi,5236072,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG,18
Desconocidos,Mau y Ricky,8112593,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,17
Instagram,Dimitri Vegas & Like Mike,4778612,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S,17
"Go Loko (feat. Tyga, Jon Z)",YG,4518341,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD,17
Reggaeton,J Balvin,4307147,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,17
The Git Up,Blanco Brown,4519487,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm,17
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,5393638,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY,16
Nonstop,Drake,4245659,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,16
Kiss and Make Up,Dua Lipa,4199882,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,16
Leave Me Alone,Flipp Dinero,4386866,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,16
Ride It,Regard,14068922,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,16
Post Malone (feat. RANI),Sam Feldt,5079797,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,16
Esclavo de Tus Besos,Manuel Turizo,4418785,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX,16
Ritual,Tiësto,4508962,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa,16
Solo (feat. Demi Lovato),Clean Bandit,4354783,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,16
Indeciso,Reik,7083945,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,16
Who Do You Love,The Chainsmokers,4596945,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN,16
Si Se Da - Remix,Myke Towers,4490293,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD,16
You Need To Calm Down,Taylor Swift,5425277,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,16
